what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1356476517864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356476531035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1356476531087
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1356476532063
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1356476535431
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1356476536740
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1356476547345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356476562822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356476577567
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1356476581969
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1356476584174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356476625218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356476722428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1356476722501
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1356476725267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356476735160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356476756560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356476759035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356496212239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356496221118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356497932908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356497933951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356497939888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356497944717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356497973848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356497975606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356498009120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356498010639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356498014121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356498015708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356498016977
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1356498017456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356498018580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356498020071
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356498020810
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1356498023590
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1356498023590
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1356498023590
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1356498023590
